                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  mpki                               |      10.05 |       2.24 |       1.97 |       2.35 |       2.10 |       1.28 |       1.91 |       1.91 |       1.56 |       1.86 |       1.86 |       0.92 |       0.51 |       0.51 |       0.64 |       0.77 |       0.77 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5033 |       5019 |       4898 |       4708 |       4586 |       4671 |       4793 |       4793 |       4671 |       4478 |       4478 |       4356 |       4556 |       4556 |       4556 |       4556 |       4556 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         30 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         16 |         16 |         16 |         16 |         16 |         16 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.60% |      0.48% |      0.49% |      0.51% |      0.52% |      0.51% |      0.50% |      0.50% |      0.51% |      0.54% |      0.54% |      0.37% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.92 |       0.66 |       0.68 |       0.73 |       0.76 |       0.70 |       0.69 |       0.69 |       0.72 |       0.79 |       0.79 |       0.54 |       0.48 |       0.48 |       0.49 |       0.49 |       0.49 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15388 |      13042 |      12825 |      11936 |      11313 |      12303 |      12226 |      12226 |      11803 |      10919 |      10919 |      10496 |      11896 |      11896 |      11596 |      11396 |      11396 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         93 |         44 |         43 |         42 |         39 |         38 |         41 |         41 |         38 |         36 |         36 |         18 |         19 |         19 |         19 |         19 |         19 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.60% |      0.34% |      0.34% |      0.35% |      0.34% |      0.31% |      0.34% |      0.34% |      0.32% |      0.33% |      0.33% |      0.17% |      0.16% |      0.16% |      0.16% |      0.17% |      0.17% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.84 |       1.20 |       1.21 |       1.28 |       1.24 |       1.10 |       1.19 |       1.19 |       1.14 |       1.18 |       1.18 |       0.61 |       0.57 |       0.57 |       0.58 |       0.59 |       0.59 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        123 |         68 |         67 |         66 |         63 |         62 |         65 |         65 |         62 |         60 |         60 |         34 |         35 |         35 |         35 |         35 |         35 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         97 |         68 |         67 |         66 |         63 |         62 |         65 |         65 |         62 |         60 |         60 |         34 |         35 |         35 |         35 |         35 |         35 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     78.86% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.96 |       1.86 |       1.88 |       2.02 |       2.00 |       1.80 |       1.88 |       1.88 |       1.86 |       1.96 |       1.96 |       1.16 |       1.05 |       1.05 |       1.06 |       1.08 |       1.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       5033 |       5019 |       4898 |       4708 |       4586 |       4671 |       4793 |       4793 |       4671 |       4478 |       4478 |       4356 |       4556 |       4556 |       4556 |       4556 |       4556 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        239 |        131 |        127 |        129 |        124 |        122 |        127 |        127 |        122 |        125 |        125 |         70 |         72 |         72 |         72 |         72 |         72 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      4.75% |      2.61% |      2.59% |      2.74% |      2.70% |      2.61% |      2.65% |      2.65% |      2.61% |      2.79% |      2.79% |      1.61% |      1.58% |      1.58% |      1.58% |      1.58% |      1.58% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       7.30 |       3.58 |       3.57 |       3.94 |       3.94 |       3.55 |       3.68 |       3.68 |       3.65 |       4.09 |       4.09 |       2.38 |       2.15 |       2.15 |       2.19 |       2.22 |       2.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15388 |      13042 |      12825 |      11936 |      11313 |      12303 |      12226 |      12226 |      11803 |      10919 |      10919 |      10496 |      11896 |      11896 |      11596 |      11396 |      11396 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        618 |        275 |        268 |        264 |        251 |        240 |        255 |        257 |        241 |        240 |        241 |        151 |        156 |        156 |        155 |        155 |        135 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      4.02% |      2.11% |      2.09% |      2.21% |      2.22% |      1.95% |      2.09% |      2.10% |      2.04% |      2.20% |      2.21% |      1.44% |      1.31% |      1.31% |      1.34% |      1.36% |      1.18% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      18.88 |       7.51 |       7.54 |       8.07 |       7.98 |       6.98 |       7.38 |       7.44 |       7.22 |       7.85 |       7.88 |       5.13 |       4.67 |       4.67 |       4.71 |       4.78 |       4.16 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        889 |        410 |        398 |        394 |        379 |        366 |        388 |        387 |        367 |        369 |        370 |        223 |        230 |        230 |        229 |        229 |        209 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        715 |        168 |        139 |        183 |        228 |        205 |        151 |        175 |        230 |        222 |        202 |        111 |        112 |        115 |        102 |        111 |        207 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     80.43% |     40.98% |     34.92% |     46.45% |     60.16% |     56.01% |     38.92% |     45.22% |     62.67% |     60.16% |     54.59% |     49.78% |     48.70% |     50.00% |     44.54% |     48.47% |     99.04% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      21.85 |       4.59 |       3.91 |       5.59 |       7.25 |       5.96 |       4.37 |       5.07 |       6.89 |       7.26 |       6.61 |       3.77 |       3.35 |       3.44 |       3.10 |       3.42 |       6.38 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |        412 |          0 |          0 |          0 |        367 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |        367 |          0 |          0 |          0 |        405 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |     106.03 |        inf |        inf |        inf |     105.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     105.23 |        inf |        inf |        inf |     105.58 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       2.03 |       0.00 |       0.00 |       0.00 |       1.90 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.23 |       0.00 |       0.00 |       0.00 |       1.57 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        170 |         24 |         19 |         26 |          4 |         19 |          9 |         12 |         38 |         55 |         36 |          2 |         17 |         14 |          9 |         11 |         44 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         33 |         10 |          2 |          5 |         60 |         26 |         22 |         33 |         18 |         12 |          8 |         12 |          6 |          9 |          9 |          9 |          5 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
