                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    miss rate                        |      4.75% |      2.61% |      2.59% |      2.74% |      2.70% |      2.65% |      2.65% |      2.63% |      2.71% |      2.77% |      2.72% |      2.68% |      1.58% |      1.58% |      1.58% |      1.58% |      1.58% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       7.30 |       3.58 |       3.57 |       3.94 |       3.94 |       3.57 |       3.68 |       3.66 |       3.78 |       4.07 |       3.96 |       3.95 |       2.15 |       2.15 |       2.19 |       2.22 |       2.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15388 |      13042 |      12825 |      11936 |      11313 |      12726 |      12226 |      12213 |      11819 |      10906 |      11326 |      10903 |      11896 |      11896 |      11596 |      11396 |      11396 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        612 |        272 |        268 |        262 |        249 |        255 |        257 |        255 |        243 |        239 |        252 |        233 |        156 |        156 |        157 |        156 |        135 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      3.98% |      2.09% |      2.09% |      2.20% |      2.20% |      2.00% |      2.10% |      2.09% |      2.06% |      2.19% |      2.22% |      2.14% |      1.31% |      1.31% |      1.35% |      1.37% |      1.18% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      18.70 |       7.43 |       7.54 |       8.01 |       7.91 |       7.17 |       7.44 |       7.40 |       7.24 |       7.84 |       7.99 |       7.66 |       4.67 |       4.67 |       4.77 |       4.81 |       4.16 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        883 |        410 |        397 |        391 |        376 |        386 |        387 |        386 |        373 |        367 |        382 |        357 |        230 |        230 |        231 |        230 |        209 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        717 |        185 |        148 |        198 |        232 |        209 |        157 |        165 |        179 |        228 |        202 |        165 |        115 |        116 |         96 |        104 |        207 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     81.20% |     45.12% |     37.28% |     50.64% |     61.70% |     54.15% |     40.57% |     42.75% |     47.99% |     62.13% |     52.88% |     46.22% |     50.00% |     50.43% |     41.56% |     45.22% |     99.04% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      21.91 |       5.05 |       4.16 |       6.05 |       7.37 |       5.88 |       4.54 |       4.79 |       5.33 |       7.48 |       6.40 |       5.43 |       3.44 |       3.47 |       2.92 |       3.21 |       6.38 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |        420 |          0 |          0 |          0 |        371 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |        378 |          0 |          0 |          0 |        414 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |     106.20 |        inf |        inf |        inf |     105.71 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     105.43 |        inf |        inf |        inf |     106.48 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       2.20 |       0.00 |       0.00 |       0.00 |       1.70 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.43 |       0.00 |       0.00 |       0.00 |       2.47 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        170 |         28 |         23 |         24 |          7 |         15 |         11 |          4 |         33 |         53 |         36 |         23 |         17 |         14 |          7 |          9 |         44 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         35 |         15 |          2 |          6 |         63 |         41 |         18 |         33 |          7 |         12 |         10 |         12 |          6 |          9 |          9 |         10 |          5 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
