                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  mpki                               |      10.02 |       2.24 |       1.97 |       2.38 |       2.13 |       1.63 |       1.91 |       1.91 |       1.56 |       2.16 |       1.86 |       1.78 |       0.51 |       0.51 |       0.64 |       0.77 |       0.77 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5033 |       5019 |       4898 |       4708 |       4586 |       4793 |       4793 |       4793 |       4671 |       4593 |       4478 |       4471 |       4556 |       4556 |       4556 |       4556 |       4556 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         30 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         16 |         16 |         16 |         16 |         16 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.60% |      0.48% |      0.49% |      0.51% |      0.52% |      0.50% |      0.50% |      0.50% |      0.51% |      0.52% |      0.54% |      0.54% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.92 |       0.66 |       0.68 |       0.73 |       0.76 |       0.68 |       0.69 |       0.69 |       0.72 |       0.76 |       0.79 |       0.79 |       0.48 |       0.48 |       0.49 |       0.49 |       0.49 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15388 |      13042 |      12825 |      11936 |      11313 |      12726 |      12226 |      12226 |      11803 |      11326 |      10919 |      10903 |      11896 |      11896 |      11596 |      11396 |      11396 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         94 |         44 |         43 |         42 |         41 |         41 |         41 |         41 |         38 |         40 |         36 |         37 |         19 |         19 |         19 |         19 |         19 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.61% |      0.34% |      0.34% |      0.35% |      0.36% |      0.32% |      0.34% |      0.34% |      0.32% |      0.35% |      0.33% |      0.34% |      0.16% |      0.16% |      0.16% |      0.17% |      0.17% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.87 |       1.20 |       1.21 |       1.28 |       1.30 |       1.15 |       1.19 |       1.19 |       1.14 |       1.27 |       1.18 |       1.22 |       0.57 |       0.57 |       0.58 |       0.59 |       0.59 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        124 |         68 |         67 |         66 |         65 |         65 |         65 |         65 |         62 |         64 |         60 |         61 |         35 |         35 |         35 |         35 |         35 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         97 |         68 |         67 |         66 |         63 |         65 |         65 |         65 |         62 |         64 |         60 |         61 |         35 |         35 |         35 |         35 |         35 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     78.23% |    100.00% |    100.00% |    100.00% |     96.92% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.96 |       1.86 |       1.88 |       2.02 |       2.00 |       1.83 |       1.88 |       1.88 |       1.86 |       2.03 |       1.96 |       2.01 |       1.05 |       1.05 |       1.06 |       1.08 |       1.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       5033 |       5019 |       4898 |       4708 |       4586 |       4793 |       4793 |       4793 |       4671 |       4593 |       4478 |       4471 |       4556 |       4556 |       4556 |       4556 |       4556 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        251 |        131 |        127 |        129 |        124 |        127 |        127 |        127 |        122 |        125 |        125 |        120 |         72 |         72 |         72 |         72 |         72 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      4.99% |      2.61% |      2.59% |      2.74% |      2.70% |      2.65% |      2.65% |      2.65% |      2.61% |      2.72% |      2.79% |      2.68% |      1.58% |      1.58% |      1.58% |      1.58% |      1.58% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       7.67 |       3.58 |       3.57 |       3.94 |       3.94 |       3.57 |       3.68 |       3.68 |       3.65 |       3.96 |       4.09 |       3.95 |       2.15 |       2.15 |       2.19 |       2.22 |       2.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15388 |      13042 |      12825 |      11936 |      11313 |      12726 |      12226 |      12226 |      11803 |      11326 |      10919 |      10903 |      11896 |      11896 |      11596 |      11396 |      11396 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        622 |        274 |        271 |        264 |        249 |        255 |        255 |        258 |        239 |        251 |        239 |        236 |        156 |        156 |        157 |        156 |        135 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      4.04% |      2.10% |      2.11% |      2.21% |      2.20% |      2.00% |      2.09% |      2.11% |      2.02% |      2.22% |      2.19% |      2.16% |      1.31% |      1.31% |      1.35% |      1.37% |      1.18% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      19.01 |       7.49 |       7.62 |       8.07 |       7.91 |       7.17 |       7.38 |       7.47 |       7.15 |       7.96 |       7.82 |       7.76 |       4.67 |       4.67 |       4.77 |       4.81 |       4.16 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        908 |        410 |        400 |        394 |        378 |        388 |        386 |        388 |        365 |        381 |        368 |        360 |        230 |        230 |        231 |        230 |        209 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        717 |        169 |        150 |        192 |        226 |        198 |        174 |        169 |        208 |        212 |        202 |        141 |        133 |        123 |        116 |        108 |        207 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     78.96% |     41.22% |     37.50% |     48.73% |     59.79% |     51.03% |     45.08% |     43.56% |     56.99% |     55.64% |     54.89% |     39.17% |     57.83% |     53.48% |     50.22% |     46.96% |     99.04% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      21.91 |       4.62 |       4.22 |       5.87 |       7.18 |       5.57 |       5.04 |       4.89 |       6.23 |       6.72 |       6.61 |       4.64 |       3.98 |       3.68 |       3.52 |       3.33 |       6.38 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |        416 |          0 |          0 |          0 |        373 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |        373 |          0 |          0 |          0 |        409 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |     106.20 |        inf |        inf |        inf |     106.25 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     105.12 |        inf |        inf |        inf |     105.98 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       2.19 |       0.00 |       0.00 |       0.00 |       2.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.12 |       0.00 |       0.00 |       0.00 |       1.98 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        170 |         31 |         22 |         23 |          5 |         20 |         16 |         12 |         28 |         54 |         32 |          7 |         21 |         14 |         12 |         10 |         44 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         35 |         10 |          2 |         11 |         59 |         27 |         28 |         30 |         21 |         13 |          9 |         19 |          7 |          9 |         11 |         10 |          5 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
